"","gap"
"1666",0.08491
"1667",0.02008
"1668",0.021564
"1669",0.004773
"1670",0.218827
"1671",0.212493
"1672",0.034407
"1673",0.039425
"1674",0.160275
"1675",0.093746
"1676",0.166802
"1677",0.207057
"1678",0.054201
"1679",0.198638
"1680",0.041357
"1681",0.127023
"1682",0.009517
"1683",0.081293
"1684",0.091038
"1685",0.007465
"1686",0.247497
"1687",0.235188
"1688",0.051309
"1689",0.070853
"1690",0.040909
"1691",0.022301
"1692",0.002338
"1693",0.092237
"1694",0.25167
"1695",0.130419
"1696",0.001328
"1697",0.085914
"1698",0.00932
"1699",0.195093
"1700",0.10685
"1701",0.05775
"1702",0.021639
"1703",0.050099
"1704",0.009637
"1705",0.009351
"1706",0.103981
"1707",0.045305
"1708",0.232719
"1709",0.071842
"1710",0.03707
"1711",0.026422
"1712",0.166144
"1713",0.131603
"1714",0.012511
"1715",0.107906
"1716",0.128876
"1717",0.00662
"1718",0.147597
"1719",0.038697
"1720",0.046319
"1721",0.073461
"1722",0.108911
"1723",0.050464
"1724",0.027473
"1725",0.099714
"1726",0.009471
"1727",0.103315
"1728",0.015364
"1729",0.047333
"1730",0.102869
"1731",0.115053
"1732",0.02963
"1733",0.010978
"1734",0.014386
"1735",0.005492
"1736",0.098748
"1737",0.051278
"1738",0.07644
"1739",0.094634
"1740",0.257097
"1741",0.056697
"1742",0.155692
"1743",0.001749
"1744",0.012422
"1745",0.105414
"1746",0.246692
"1747",0.040624
"1748",0.030868
"1749",0.005294
"1750",0.27653
